id,name,is_real_startup,country,city,sector,founded_year,website,description,employees,crunchbase_id,fiscal_year,currency,revenue,cogs,gross_profit,operating_expenses,ebitda,depreciation,ebit,interest_expense,taxes,net_income,cash,total_assets,total_liabilities,equity,mrr,arr,cac,ltv,churn_rate,customers_count,arpu,burn_rate_monthly,runway_months,gross_margin_pct
2079,Davis-George,False,FR,New Dakota,SaaS,2022,https://davis-george.com,Even live glass teacher southern create free car chance control.,21,davis-george,2023,EUR,356264,116441,239823,227616,12207,5664,6543,3562,7125,-582,6238,207159,76642,130517,29688.67,356264,240.49,260.73,0.0011,463,64.11,8149.76,0.77,0.6732
2080,Sanders and Sons,False,CA,East Davidfurt,HealthTech,2012,https://sandersandsons.com,Generation well he kitchen drop partner resource.,20,sanders-and-sons,2023,USD,405497,104034,301463,132722,168741,0,168741,4054,8109,160632,15200,408171,111475,296696,33791.42,405497,308.29,1094.25,0.0305,422,79.92,28200.74,0.54,0.7434
2081,Duarte Group,False,IN,Kimberlyton,E-commerce,2015,https://duartegroup.com,Dinner beautiful middle chair chance let seat happy.,28,duarte-group,2023,USD,2919141,855386,2063755,1253445,810310,29896,780414,29191,58382,722032,246210,1899588,131863,1767725,,2919141,106.03,464.57,0.0399,1918,126.78,99890.62,2.46,0.707
2082,Cooper PLC,False,DE,South Kathleen,AgriTech,2017,https://cooperplc.com,Order agent result group study decide rich short over decade.,23,cooper-plc,2023,EUR,58240,25860,32380,25887,6493,0,6493,582,1164,5329,11635,106304,55394,50910,,58240,1852.77,5141.3,0.0958,242,20.0,3795.26,3.07,0.556
2083,Vasquez and Sons,False,FR,West David,IoT,2020,https://vasquezandsons.com,Want recent city water mind let time strategy sport market.,18,vasquez-and-sons,2023,EUR,424340,191687,232653,221583,11070,0,11070,4243,8486,2584,22561,302990,56432,246558,,424340,1313.8,4479.95,0.0927,1768,20.0,8195.29,2.75,0.5483
2084,Lopez PLC,False,KE,North Austin,EdTech,2010,https://lopezplc.com,Response station safe research apply myself once.,29,lopez-plc,2023,USD,94254,27586,66668,47106,19562,14375,5187,942,1885,3302,53418,144500,7225,137275,7854.5,94254,638.05,3393.95,0.015,106,73.47,1000.0,53.42,0.7073
2085,Pena LLC,False,ZA,East Juliatown,E-commerce,2023,https://penallc.com,Culture do seven radio place Mr specific.,11,pena-llc,2023,USD,399921,46546,353375,367627,-14252,0,-14252,3999,7998,-22250,3234,333365,229664,103701,,399921,631.56,1423.26,0.0257,159,208.99,1000.0,3.23,0.8836
2086,Ferguson LLC,False,GB,Waltersland,Mobility,2011,https://fergusonllc.com,Growth main natural two especially despite.,17,ferguson-llc,2023,USD,1233243,523148,710095,826785,-116690,0,-116690,12332,24664,-141354,40012,779280,158305,620975,,1233243,2076.11,13996.14,0.001,2731,37.62,52375.8,0.76,0.5758
2087,Vargas Ltd,False,KE,Karenville,Marketplaces,2017,https://vargasltd.com,We number history admit with physical fast such ground.,21,vargas-ltd,2023,USD,621833,355686,266147,206407,59740,41317,18423,6218,12436,5987,81341,485379,163791,321588,,621833,20.0,22.44,0.0459,225,230.17,20461.49,3.98,0.428
2088,Luna-Vazquez,False,US,West Tracyside,Cybersecurity,2020,https://luna-vazquez.com,Less protect itself air deal certainly station.,21,luna-vazquez,2023,USD,3196718,967588,2229130,1981115,248015,0,248015,31967,63934,184081,161231,1839814,394900,1444914,,3196718,1297.72,5037.45,0.0906,845,315.24,127250.65,1.27,0.6973
2089,Holland PLC,False,FR,Boydstad,SaaS,2018,https://hollandplc.com,Daughter rise car yeah degree sort also owner party parent trial.,24,holland-plc,2023,EUR,133217,58859,74358,12519,61839,0,61839,1332,2664,59175,37671,281110,41770,239340,11101.42,133217,472.58,2721.47,0.0013,122,90.31,12695.94,2.97,0.5582
2090,Powers Huffman and Byrd,False,CA,Lake Nathanbury,Energy,2021,https://powershuffmanandbyrd.com,Behind member serious station inside generation.,12,powers-huffman-and-byrd,2023,USD,774958,353530,421428,809105,-387677,4343,-392020,7749,15499,-407519,12855,494863,96241,398622,,774958,732.49,1660.49,0.0629,253,254.64,51074.75,0.25,0.5438
2091,Chan-Becker,False,FR,East Martinfurt,EdTech,2008,https://chan-becker.com,Its treatment power if provide already position development fear.,19,chan-becker,2023,EUR,215223,81506,133717,53504,80213,18459,61754,2152,4304,57450,40057,314244,77329,236915,17935.25,215223,242.01,1430.29,0.0466,189,94.52,15966.06,2.51,0.6213
2092,Ruiz-Pitts,False,BR,Wrightside,Marketplaces,2020,https://ruiz-pitts.com,Group past three a month continue chair like collection billion.,18,ruiz-pitts,2023,USD,519226,73948,445278,205770,239508,14069,225439,5192,10384,215055,5206,396984,128883,268101,,519226,570.26,4361.35,0.1638,295,146.21,10961.89,0.47,0.8576
2093,Knight-Morales,False,US,Phillipsshire,AgriTech,2024,https://knight-morales.com,Direction page past true eye cut none fly season.,17,knight-morales,2023,USD,699614,285487,414127,157090,257037,28066,228971,6996,13992,214979,12550,495298,160194,335104,,699614,1228.35,4132.61,0.0134,2915,20.0,13116.07,0.96,0.5919
2094,Cox-Osborne,False,US,Jamesfort,E-commerce,2012,https://cox-osborne.com,Message describe approach scene before.,21,cox-osborne,2023,USD,591614,125575,466039,76412,389627,10010,379617,5916,11832,367785,33834,413635,235860,177775,,591614,1132.31,566.16,0.0548,2465,20.0,1000.0,33.83,0.7877
2095,Thomas Roman and Mcdonald,False,CA,South Emily,AI/ML,2015,https://thomasromanandmcdonald.com,Raise win go hospital some daughter relate.,21,thomas-roman-and-mcdonald,2023,USD,1184120,520866,663254,257077,406177,24933,381244,11841,23682,357562,282687,1012465,401573,610892,,1184120,532.47,947.71,0.001,533,184.83,1000.0,282.69,0.5601
2096,Jackson Ltd,False,GB,West Samantha,SaaS,2020,https://jacksonltd.com,Environmental degree woman international hot someone oil almost action.,20,jackson-ltd,2023,USD,1047670,321257,726413,465069,261344,48584,212760,10476,20953,191807,111107,661776,33088,628688,87305.83,1047670,140.6,245.01,0.001,17461,5.0,9447.44,11.76,0.6934
2097,Stone Foster and Cordova,False,EG,Lake Scottberg,IoT,2024,https://stonefosterandcordova.com,Finally under language shoulder though physical culture light.,16,stone-foster-and-cordova,2023,USD,1278370,262985,1015385,516190,499195,0,499195,12783,25567,473628,110937,810120,286314,523806,,1278370,460.74,985.19,0.0809,768,138.69,52968.28,2.09,0.7943
2098,Mendez-Mccoy,False,FR,Christopherchester,EdTech,2021,https://mendez-mccoy.com,Skin pattern age cup benefit.,25,mendez-mccoy,2023,EUR,136216,31660,104556,55427,49129,9543,39586,1362,2724,36862,3154,110182,24638,85544,11351.33,136216,23.25,89.62,0.0535,525,21.61,4991.62,0.63,0.7676
2099,Carter-Pace,False,IN,Danielleside,Energy,2012,https://carter-pace.com,Address glass make east evening.,25,carter-pace,2023,USD,2925972,1742222,1183750,1763310,-579560,0,-579560,29259,58519,-638079,59204,1548344,837017,711327,,2925972,20.0,27.13,0.0523,1101,221.39,142900.48,0.41,0.4046
2100,Ali-Conley,False,GB,Robinborough,E-commerce,2010,https://ali-conley.com,Much should think season skill war for.,17,ali-conley,2023,USD,495067,202590,292477,224787,67690,0,67690,4950,9901,57789,12694,285347,127427,157920,,495067,708.33,2192.42,0.001,285,144.73,48538.85,0.26,0.5908
2101,Harding Johnson and Rivera,False,EG,Cooperland,IoT,2009,https://hardingjohnsonandrivera.com,Course my thus science kind order two music door knowledge.,14,harding-johnson-and-rivera,2023,USD,2086586,507722,1578864,914194,664670,8395,656275,20865,41731,614544,82748,1280532,518168,762364,,2086586,706.15,3039.54,0.1294,2465,70.53,89570.07,0.92,0.7567
2102,Ochoa LLC,False,NG,New Lorihaven,Energy,2016,https://ochoallc.com,People me house section around dream memory number.,20,ochoa-llc,2023,USD,923144,424613,498531,282423,216108,0,216108,9231,18462,197646,11909,562454,236333,326121,,923144,527.47,553.24,0.0664,1148,66.98,49013.62,0.24,0.54
2103,Poole Price and Long,False,FR,West Sarah,Energy,2024,https://poolepriceandlong.com,Simple discussion economy if form you cost.,18,poole-price-and-long,2023,EUR,484235,169304,314931,320500,-5569,0,-5569,4842,9684,-15253,44533,444623,334381,110242,,484235,20.0,142.17,0.02,2017,20.0,51997.86,0.86,0.6504
2104,Parks Group,False,TN,Port Joemouth,Cybersecurity,2012,https://parksgroup.com,Above national decide test information.,27,parks-group,2023,USD,634799,229850,404949,346205,58744,0,58744,6347,12695,46049,10188,442436,183231,259205,,634799,243.36,1197.15,0.1055,139,379.62,32790.26,0.31,0.6379
2105,James-Smith,False,AU,Brendaton,HealthTech,2023,https://james-smith.com,Local employee everybody involve trial business.,18,james-smith,2023,USD,1738647,391675,1346972,233045,1113927,5787,1108140,17386,34772,1073368,76431,1081808,139019,942789,144887.25,1738647,227.77,227.77,0.0367,28977,5.0,18296.77,4.18,0.7747
2106,Keith Simmons and Lopez,False,NG,Port Matthewbury,EdTech,2023,https://keithsimmonsandlopez.com,Staff if fine go small report represent reduce point total.,21,keith-simmons-and-lopez,2023,USD,238648,81718,156930,11932,144998,23592,121406,2386,4772,116634,30475,264696,45303,219393,19887.33,238648,532.59,3641.36,0.0696,184,107.69,1000.0,30.48,0.6576
2107,Williams LLC,False,TN,West Adrianabury,Marketplaces,2014,https://williamsllc.com,Describe capital name research product ability.,25,williams-llc,2023,USD,297381,81595,215786,181445,34341,16986,17355,2973,5947,11408,86501,255062,52479,202583,,297381,20.0,10.0,0.0495,1239,20.0,29222.43,2.96,0.7256
2108,Robertson LLC,False,NG,Port Michelleburgh,IoT,2024,https://robertsonllc.com,Full take cover million black then all continue family government.,17,robertson-llc,2023,USD,1415956,556019,859937,598777,261160,21212,239948,14159,28319,211629,108874,923110,355992,567118,,1415956,20.0,101.45,0.0394,627,188.05,36554.73,2.98,0.6073
2109,Davis-Weaver,False,DE,Angelicafurt,EdTech,2010,https://davis-weaver.com,Our parent side break tree.,19,davis-weaver,2023,EUR,231657,47859,183798,131676,52122,7941,44181,2316,4633,39548,30885,304344,150029,154315,19304.75,231657,39.72,119.31,0.075,975,19.79,15756.83,1.96,0.7934
2110,Mueller Brooks and Wiley,False,IN,Davidville,Energy,2018,https://muellerbrooksandwiley.com,Development up in just maybe some manage low movie politics.,21,mueller-brooks-and-wiley,2023,USD,2782304,1277398,1504906,2035370,-530464,0,-530464,27823,55646,-586110,312271,1802262,378328,1423934,,2782304,20.0,35.92,0.0567,936,247.49,165117.03,1.89,0.5409
2111,Gould Harper and Harris,False,BR,Port Mary,IoT,2010,https://gouldharperandharris.com,Trade west suggest writer admit truth reduce outside base while.,17,gould-harper-and-harris,2023,USD,603127,201632,401495,148126,253369,0,253369,6031,12062,241307,206084,618614,114011,504603,,603127,149.93,76.19,0.0395,206,243.36,1012.45,203.55,0.6657
2112,Clark and Sons,False,FR,Port Jamesshire,Marketplaces,2021,https://clarkandsons.com,Clear care none walk sign enter program want.,19,clark-and-sons,2023,EUR,1150602,912421,238181,558721,-320540,6783,-327323,11506,23012,-350335,12315,687709,443378,244331,,1150602,1089.31,1573.05,0.0502,4794,20.0,34108.59,0.36,0.207
2113,Woods Ltd,False,TN,South Tylerhaven,E-commerce,2019,https://woodsltd.com,Give choice large must home blood real to word toward.,17,woods-ltd,2023,USD,524872,175433,349439,389537,-40098,0,-40098,5248,10497,-50595,40285,410992,55205,355787,,524872,724.46,4171.1,0.001,145,299.67,51220.2,0.79,0.6658
2114,Anderson Johnson and Hall,False,DE,South Brittanystad,E-commerce,2019,https://andersonjohnsonandhall.com,Investment make behavior body never.,25,anderson-johnson-and-hall,2023,EUR,1524626,859532,665094,76231,588863,28798,560065,15246,30492,529573,67017,957908,148545,809363,,1524626,20.0,25.93,0.001,716,177.31,1000.0,67.02,0.4362
2115,Decker Inc,False,KE,North Elizabethberg,Marketplaces,2008,https://deckerinc.com,Themselves pass participant develop arrive foot on.,18,decker-inc,2023,USD,1594005,446762,1147243,1291625,-144382,11981,-156363,15940,31880,-188243,50276,956315,303757,652558,,1594005,20.0,57.11,0.1252,889,149.28,89212.16,0.56,0.7197
2116,Romero Simpson and Le,False,AU,North Ruben,AgriTech,2013,https://romerosimpsonandle.com,Determine so staff future involve probably.,21,romero-simpson-and-le,2023,USD,201700,68217,133483,64540,68943,5948,62995,2017,4034,58961,9393,197286,102763,94523,,201700,607.15,598.19,0.07,840,20.0,24430.05,0.38,0.6618
2117,Haynes Davies and Ochoa,False,CA,New Janeville,IoT,2022,https://haynesdaviesandochoa.com,Several team answer explain air clear assume senior successful society.,24,haynes-davies-and-ochoa,2023,USD,331161,97722,233439,198091,35348,6418,28930,3311,6623,22307,3537,171562,90633,80929,,331161,950.67,4542.87,0.001,99,276.83,39935.61,0.09,0.7049
2118,Stone Group,False,KE,Kimberlyside,HealthTech,2022,https://stonegroup.com,Education section southern style.,24,stone-group,2023,USD,601884,252782,349102,143426,205676,46126,159550,6018,12037,147513,184690,540930,248572,292358,50157.0,601884,476.45,3061.12,0.0397,676,74.17,1000.0,184.69,0.58
2119,Miles Holt and Porter,False,US,West Benjaminside,EdTech,2014,https://milesholtandporter.com,Event nor enjoy not good star activity.,16,miles-holt-and-porter,2023,USD,1194723,448969,745754,333234,412520,1016,411504,11947,23894,387610,224236,834302,394530,439772,99560.25,1194723,333.75,1277.59,0.001,3166,31.44,24653.21,9.1,0.6242
2120,Cain Singh and Poole,False,BR,South Mariamouth,E-commerce,2012,https://cainsinghandpoole.com,Future it newspaper range point trip give.,22,cain-singh-and-poole,2023,USD,1298218,384570,913648,381861,531787,0,531787,12982,25964,505823,25215,729055,198553,530502,,1298218,1415.24,6426.37,0.0767,1640,65.95,36261.74,0.7,0.7038
2121,Williams Scott and Franklin,False,AU,Christianberg,Cybersecurity,2010,https://williamsscottandfranklin.com,Price face grow upon you kitchen issue first course seven move.,14,williams-scott-and-franklin,2023,USD,374511,99866,274645,164511,110134,0,110134,3745,7490,102644,22184,214015,66582,147433,,374511,814.22,1645.84,0.0429,1560,20.0,1000.0,22.18,0.7333
2122,Sullivan-Myers,False,FR,New Lindsayborough,Cybersecurity,2009,https://sullivan-myers.com,Believe visit whose many modern.,19,sullivan-myers,2023,EUR,7112625,2437400,4675225,3094437,1580788,38217,1542571,71126,142252,1400319,402490,3998907,421438,3577469,,7112625,450.91,1045.4,0.0361,29635,20.0,250510.32,1.61,0.6573
2123,Morales Harrison and Carter,False,DE,Wumouth,IoT,2012,https://moralesharrisonandcarter.com,Trade care site rather can southern whatever be serve hit.,23,morales-harrison-and-carter,2023,EUR,766654,159341,607313,210725,396588,0,396588,7666,15333,381255,156370,692880,341065,351815,,766654,304.8,724.39,0.0397,3194,20.0,32593.75,4.8,0.7922
2124,Fernandez Graham and Tate,False,IN,Candiceberg,SaaS,2018,https://fernandezgrahamandtate.com,Space hundred nature true young push low.,21,fernandez-graham-and-tate,2023,USD,406819,173967,232852,237794,-4942,0,-4942,4068,8136,-13078,37469,341869,185333,156536,33901.58,406819,10.0,64.79,0.0446,528,64.14,1000.0,37.47,0.5724
2125,Martinez LLC,False,ZA,Moorefort,Fintech,2017,https://martinezllc.com,Start far citizen to state market car beautiful visit.,15,martinez-llc,2023,USD,1028979,378678,650301,376954,273347,0,273347,10289,20579,252768,10255,628277,262273,366004,,1028979,853.28,426.64,0.0399,4287,20.0,30914.22,0.33,0.632
2126,Hernandez-White,False,EG,West Edward,Mobility,2008,https://hernandez-white.com,Story a fly student study final hospital artist.,23,hernandez-white,2023,USD,316045,166691,149354,166910,-17556,0,-17556,3160,6320,-23876,6003,299774,197653,102121,,316045,323.66,1845.16,0.0213,1316,20.0,1000.0,6.0,0.4726
2127,Rodriguez Inc,False,CA,Kendratown,EdTech,2014,https://rodriguezinc.com,Growth rule direction current because rest middle he including forget whether.,19,rodriguez-inc,2023,USD,180619,55346,125273,97411,27862,4107,23755,1806,3612,20143,2918,266957,166071,100886,15051.58,180619,342.41,1922.21,0.0749,437,34.4,24221.61,0.12,0.6936
2128,Hall Beck and Allen,False,DE,Lake Jennifer,AI/ML,2024,https://hallbeckandallen.com,According be chair there even election.,26,hall-beck-and-allen,2023,EUR,1667761,536395,1131366,1040884,90482,19447,71035,16677,33355,37680,133450,1096592,110081,986511,,1667761,743.98,3142.08,0.0295,2196,63.26,141418.14,0.94,0.6784
2129,Perez Rodriguez and Olsen,False,AU,West Michelleside,AgriTech,2023,https://perezrodriguezandolsen.com,Mention enter trade teach race play then loss seven.,16,perez-rodriguez-and-olsen,2023,USD,894015,378038,515977,454090,61887,0,61887,8940,17880,44007,66243,619614,417497,202117,,894015,513.37,1261.34,0.0186,3725,20.0,45097.41,1.47,0.5771
2130,Norris LLC,False,KE,Port Edgarville,Cybersecurity,2012,https://norrisllc.com,Us challenge behavior man wait tend top military maybe.,24,norris-llc,2023,USD,1975688,417509,1558179,364768,1193411,10389,1183022,19756,39513,1143509,290334,1374960,68748,1306212,,1975688,20.0,65.84,0.0388,1342,122.66,37351.83,7.77,0.7887
2131,Smith Williams and Becker,False,ZA,Hernandezport,Cybersecurity,2008,https://smithwilliamsandbecker.com,Wind gas leg sign senior itself.,25,smith-williams-and-becker,2023,USD,2205906,783022,1422884,1512812,-89928,0,-89928,22059,44118,-134046,592332,1861860,430319,1431541,,2205906,186.36,457.58,0.1341,9191,20.0,137767.59,4.3,0.645
2132,Shelton LLC,False,TN,Hayesport,IoT,2024,https://sheltonllc.com,Term indicate short feel mission mouth crime serious.,11,shelton-llc,2023,USD,1396937,854181,542756,593375,-50619,17889,-68508,13969,27938,-96446,27079,741312,45420,695892,,1396937,1597.06,3574.42,0.0809,5820,20.0,116796.69,0.23,0.3885
2133,Holloway-Hernandez,False,US,Kennethburgh,AgriTech,2013,https://holloway-hernandez.com,Police dark bring together wide quickly.,19,holloway-hernandez,2023,USD,264285,109200,155085,13214,141871,13822,128049,2642,5285,122764,10019,150808,50447,100361,,264285,457.68,1502.23,0.1067,86,255.58,2783.89,3.6,0.5868
2134,Spencer LLC,False,US,East Johnathanstad,AgriTech,2014,https://spencerllc.com,Network money member line according energy however.,29,spencer-llc,2023,USD,167153,35820,131333,140676,-9343,0,-9343,1671,3343,-12686,13860,163899,71384,92515,,167153,701.34,350.67,0.0097,81,171.76,28721.86,0.48,0.7857
2135,James-Gray,False,AU,New Davidside,Cybersecurity,2016,https://james-gray.com,Federal religious still land reveal can personal finish authority.,20,james-gray,2023,USD,994632,449523,545109,551180,-6071,0,-6071,9946,19892,-25963,24466,568860,139622,429238,,994632,454.74,1107.61,0.0521,4144,20.0,41000.31,0.6,0.5481
2136,Love Group,False,US,Cassandraville,Mobility,2008,https://lovegroup.com,Since remember how believe pressure lose far together.,16,love-group,2023,USD,4693558,546869,4146689,1689714,2456975,0,2456975,46935,93871,2363104,41667,2449070,1217023,1232047,,4693558,925.97,1238.13,0.001,1634,239.24,127259.87,0.33,0.8835
2137,Scott LLC,False,FR,North Cynthia,Energy,2016,https://scottllc.com,Address hold everyone experience central small.,29,scott-llc,2023,EUR,3308160,1070032,2238128,1263853,974275,37003,937272,33081,66163,871109,82925,1766032,846479,919553,,3308160,670.79,1264.16,0.001,2948,93.51,122016.33,0.68,0.6765
2138,Reyes Torres and Zimmerman,False,BR,Josephborough,Marketplaces,2019,https://reyestorresandzimmerman.com,Attorney somebody sure benefit business surface.,24,reyes-torres-and-zimmerman,2023,USD,2143102,931560,1211542,1034704,176838,0,176838,21431,42862,133976,335595,1449557,188198,1261359,,2143102,20.0,81.28,0.0716,8929,20.0,76101.11,4.41,0.5653
2139,Perez and Sons,False,FR,Kristenmouth,SaaS,2017,https://perezandsons.com,Performance success level begin seek second.,20,perez-and-sons,2023,EUR,1094709,514586,580123,221435,358688,29193,329495,10947,21894,307601,293548,945037,416693,528344,91225.75,1094709,278.0,1630.12,0.0391,3184,28.65,20618.93,14.24,0.5299
2140,Turner Phillips and Greene,False,BR,Diazside,Energy,2015,https://turnerphillipsandgreene.com,Sport response phone safe model begin usually memory.,17,turner-phillips-and-greene,2023,USD,8471343,4085936,4385407,3304843,1080564,17071,1063493,84713,169426,894067,726943,5004474,1269223,3735251,,8471343,1154.95,3314.98,0.0587,7045,100.2,244684.44,2.97,0.5177
2141,Gould and Sons,False,TN,West Ashleyberg,AI/ML,2011,https://gouldandsons.com,Parent design join truth middle make eye test weight.,17,gould-and-sons,2023,USD,565587,202266,363321,362969,352,0,352,5655,11311,-10959,41092,392770,252825,139945,,565587,860.0,3271.01,0.1437,283,166.24,42283.04,0.97,0.6424
2142,Lewis and Sons,False,CA,East Jermaine,Mobility,2010,https://lewisandsons.com,Focus news upon keep face deal brother fine walk scene.,26,lewis-and-sons,2023,USD,1062347,593638,468709,414498,54211,8590,45621,10623,21246,24375,1133998,1675084,130794,1544290,,1062347,737.08,945.92,0.001,423,209.04,28743.21,39.45,0.4412
2143,Robinson Sanders and Ford,False,GB,Ruizfort,EdTech,2024,https://robinsonsandersandford.com,According adult idea in your several I.,14,robinson-sanders-and-ford,2023,USD,170264,79829,90435,43354,47081,16598,30483,1702,3405,27078,33833,186898,35351,151547,14188.67,170264,687.4,4959.14,0.0527,2837,5.0,1000.0,33.83,0.5311
2144,Chambers Group,False,EG,Riversberg,AI/ML,2008,https://chambersgroup.com,Talk near choice tend Congress reach.,23,chambers-group,2023,USD,3377186,861808,2515378,1540170,975208,14734,960474,33771,67543,892931,37783,1740165,432617,1307548,,3377186,1441.11,2412.04,0.0233,8767,32.1,159038.0,0.24,0.7448
2145,Martinez Carpenter and Reilly,False,US,Grimesside,EdTech,2024,https://martinezcarpenterandreilly.com,Lose so several card end so.,14,martinez-carpenter-and-reilly,2023,USD,1076542,378850,697692,508059,189633,10977,178656,10765,21530,157126,205488,942194,134930,807264,89711.83,1076542,544.74,2534.04,0.0551,2322,38.62,46787.33,4.39,0.6481
2146,Harris Jefferson and Escobar,False,IN,Dawnchester,E-commerce,2023,https://harrisjeffersonandescobar.com,Coach set too husband whom allow event good discuss consider.,16,harris-jefferson-and-escobar,2023,USD,2049343,646390,1402953,790257,612696,13867,598829,20493,40986,557843,119366,1148730,284295,864435,,2049343,1417.84,6641.6,0.0345,1102,154.86,94918.53,1.26,0.6846
2147,Valdez-Baker,False,TN,Adrianaview,Cybersecurity,2013,https://valdez-baker.com,There none both minute finally team item better whom consider.,19,valdez-baker,2023,USD,631409,267873,363536,455460,-91924,27681,-119605,6314,12628,-132233,58470,403397,113680,289717,,631409,20.0,10.0,0.001,357,147.06,33283.06,1.76,0.5758
2148,Salas Ltd,False,US,South Angela,E-commerce,2019,https://salasltd.com,Listen remain film report visit.,27,salas-ltd,2023,USD,748005,239941,508064,265026,243038,0,243038,7480,14960,228078,15597,430672,249455,181217,,748005,20.0,111.69,0.0162,280,221.95,1000.0,15.6,0.6792
2149,King-Herring,False,CA,North Hannahmouth,Marketplaces,2017,https://king-herring.com,Glass guess world need personal head usually cold performance matter.,19,king-herring,2023,USD,111882,48717,63165,73622,-10457,0,-10457,1118,2237,-12694,3115,172562,92256,80306,,111882,405.61,1109.16,0.1456,119,77.82,13832.06,0.23,0.5646
2150,Morse and Sons,False,DE,Leefurt,AI/ML,2016,https://morseandsons.com,Office concern hundred into manage maintain nothing guess.,21,morse-and-sons,2023,EUR,285414,142976,142438,175609,-33171,24847,-58018,2854,5708,-63726,4611,200939,10046,190893,,285414,20.0,62.65,0.0207,1189,20.0,3064.05,1.5,0.4991
2151,Coleman Clark and Rowe,False,AU,South Jonathanland,SaaS,2016,https://colemanclarkandrowe.com,Get similar yet age natural name fear it man candidate.,21,coleman-clark-and-rowe,2023,USD,526557,289155,237402,227834,9568,0,9568,5265,10531,-963,2624,298898,31196,267702,43879.75,526557,37.23,156.38,0.0433,642,68.31,23059.74,0.11,0.4509
2152,Franklin Inc,False,TN,Atkinsonville,SaaS,2016,https://franklininc.com,Tend almost avoid difference blood final whom film.,27,franklin-inc,2023,USD,1511413,437273,1074140,878979,195161,5351,189810,15114,30228,159582,47146,865016,294450,570566,125951.08,1511413,10.0,37.81,0.0167,1509,83.43,84850.87,0.56,0.7107
2153,Curry Group,False,DE,Victorburgh,HealthTech,2018,https://currygroup.com,End one actually able risk.,19,curry-group,2023,EUR,715726,272367,443359,125022,318337,11080,307257,7157,14314,292943,21007,497651,225359,272292,59643.83,715726,10.0,51.51,0.0196,550,108.41,1000.0,21.01,0.6195
2154,Davis-Peck,False,TN,Margarettown,Marketplaces,2012,https://davis-peck.com,Stuff wonder probably number become wonder loss.,21,davis-peck,2023,USD,2166211,789896,1376315,308501,1067814,21511,1046303,21662,43324,1002979,817334,1989740,99487,1890253,,2166211,1925.81,962.9,0.001,1811,99.63,40758.93,20.05,0.6354
2155,Stanley Johnson and Gibson,False,FR,Murraybury,Cybersecurity,2020,https://stanleyjohnsonandgibson.com,Later within once hour and Congress create Congress.,24,stanley-johnson-and-gibson,2023,EUR,517663,190000,327663,458710,-131047,0,-131047,5176,10353,-141400,72049,352131,171115,181016,,517663,20.0,10.0,0.0225,2156,20.0,47988.21,1.5,0.633
2156,Walker-Thompson,False,NG,Williamfurt,Marketplaces,2015,https://walker-thompson.com,Not wonder time treat per light professor send hair trip.,23,walker-thompson,2023,USD,998529,283296,715233,557382,157851,0,157851,9985,19970,137881,206939,750708,102491,648217,,998529,373.82,1116.03,0.0517,4160,20.0,56331.53,3.67,0.7163
2157,Williamson-Moore,False,TN,Owensville,EdTech,2012,https://williamson-moore.com,Race final peace street level.,24,williamson-moore,2023,USD,589302,318036,271266,328672,-57406,3610,-61016,5893,11786,-72802,252317,643036,214264,428772,49108.5,589302,10.0,28.33,0.0335,610,80.46,7783.33,32.42,0.4603
2158,Harris-Stokes,False,TN,Smithshire,AgriTech,2018,https://harris-stokes.com,Meet image necessary movie political nearly senior alone series.,21,harris-stokes,2023,USD,595645,284384,311261,121570,189691,0,189691,5956,11912,177779,18973,423735,335433,88302,,595645,20.0,70.71,0.0548,193,256.28,7284.96,2.6,0.5226
2159,Nunez-Wells,False,EG,Vincentfort,AI/ML,2012,https://nunez-wells.com,Fall defense recent create talk event this anything him character.,22,nunez-wells,2023,USD,1927268,481686,1445582,1809483,-363901,35440,-399341,19272,38545,-437886,166716,1172790,121566,1051224,,1927268,1672.37,4428.52,0.1524,993,161.58,158920.34,1.05,0.7501
2160,Franco-Barrett,False,DE,Brookeview,Marketplaces,2012,https://franco-barrett.com,Million pretty hold people standard plan win season.,20,franco-barrett,2023,EUR,538971,159229,379742,253884,125858,17704,108154,5389,10779,97375,23174,453938,194971,258967,,538971,619.13,2954.59,0.0578,173,259.46,1000.0,23.17,0.7046
2161,Gomez-Fuller,False,KE,West Melissa,AI/ML,2014,https://gomez-fuller.com,Tell positive response can age hair kind.,35,gomez-fuller,2023,USD,1589996,355426,1234570,774238,460332,0,460332,15899,31799,428533,171847,1161821,123401,1038420,,1589996,916.94,3127.2,0.1007,1463,90.55,59598.43,2.88,0.7765
2162,Burke Inc,False,GB,Erinhaven,AgriTech,2024,https://burkeinc.com,Huge these politics else there down source glass network walk significant.,21,burke-inc,2023,USD,466237,169904,296333,127951,168382,10371,158011,4662,9324,148687,95114,522732,278610,244122,,466237,20.0,146.11,0.0825,297,130.74,26210.79,3.63,0.6356
2163,Warren-Brooks,False,GB,East Jessica,Energy,2012,https://warren-brooks.com,Understand oil cost parent easy over field science.,18,warren-brooks,2023,USD,660455,296386,364069,163340,200729,0,200729,6604,13209,187520,30552,521659,49306,472353,,660455,2092.91,1643.96,0.1235,227,241.46,32260.67,0.95,0.5512
2164,Horton LLC,False,BR,South Jeffreyborough,IoT,2013,https://hortonllc.com,Whose then beautiful ability they.,28,horton-llc,2023,USD,81506,31831,49675,70452,-20777,16805,-37582,815,1630,-39212,2393,75846,30197,45649,,81506,922.0,3742.77,0.096,56,119.66,10411.32,0.23,0.6095
